"snp_id","true_beta","beta_hat","inflacion_pct","tipo_error"
"SNP_9411",2.13980522340621,1.53216948436993,-28.4,"Subestimado"
"SNP_544",1.18738894168024,1.47291458606356,24.05,"Inflado (Curse)"
"SNP_2744",2.95148092255266,3.61128249174577,22.35,"Inflado (Curse)"
"SNP_500",-1.61118369572502,-1.96545956276587,21.99,"Inflado (Curse)"
"SNP_6261",2.63008819626607,2.99575640743085,13.9,"Inflado (Curse)"
"SNP_524",1.3873535680516,1.57495199141966,13.52,"Inflado (Curse)"
"SNP_2037",1.27797740982072,1.40796483342241,10.17,"Inflado (Curse)"
"SNP_1787",2.29712411554585,2.06423305081426,-10.14,"Subestimado"
"SNP_3515",1.4877792753679,1.37032309987265,-7.89,"Subestimado"
